01-05-2018 11:24:26.614 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 11:24:26.764 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 11:27:42.376 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 11:27:42.382 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 11:30:29.765 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 11:30:29.777 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 11:30:56.318 | DEBUG | main       | .aibar.base.BaseTest:76    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
01-05-2018 11:32:27.023 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 11:32:27.033 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 11:32:36.084 | DEBUG | main       | .aibar.base.BaseTest:76    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
01-05-2018 11:38:26.557 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 11:38:26.564 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 11:38:38.821 | DEBUG | main       | .aibar.base.BaseTest:76    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
01-05-2018 12:50:32.899 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 12:50:32.912 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 12:50:51.005 | DEBUG | main       | .aibar.base.BaseTest:70    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
01-05-2018 14:43:50.503 | DEBUG | main       | .aibar.base.BaseTest:44    | config file loaded.
01-05-2018 14:43:50.509 | DEBUG | main       | .aibar.base.BaseTest:46    | objectRepository file loaded.
01-05-2018 14:47:11.654 | DEBUG | main       | .aibar.base.BaseTest:44    | config file loaded.
01-05-2018 14:47:11.663 | DEBUG | main       | .aibar.base.BaseTest:46    | objectRepository file loaded.
01-05-2018 14:51:30.275 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 14:51:30.284 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 14:51:47.732 | DEBUG | main       | .aibar.base.BaseTest:71    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
01-05-2018 14:51:49.449 | DEBUG | main       | BankManagerLoginTest:12    | inside loginAsBankManager.
01-05-2018 14:51:50.431 | DEBUG | main       | BankManagerLoginTest:15    | loginAsBankManager successfully executed.
01-05-2018 14:51:53.532 | DEBUG | main       | .aibar.base.BaseTest:92    | test execution completed.
01-05-2018 14:55:11.807 | DEBUG | main       | .aibar.base.BaseTest:43    | config file loaded.
01-05-2018 14:55:11.829 | DEBUG | main       | .aibar.base.BaseTest:45    | objectRepository file loaded.
01-05-2018 15:02:09.926 | DEBUG | main       | .aibar.base.BaseTest:44    | config file loaded.
01-05-2018 15:02:09.938 | DEBUG | main       | .aibar.base.BaseTest:46    | objectRepository file loaded.
01-05-2018 15:09:26.496 | DEBUG | main       | .aibar.base.BaseTest:44    | config file loaded.
01-05-2018 15:09:26.506 | DEBUG | main       | .aibar.base.BaseTest:46    | objectRepository file loaded.
01-05-2018 15:10:06.000 | DEBUG | main       | .aibar.base.BaseTest:44    | config file loaded.
01-05-2018 15:10:06.008 | DEBUG | main       | .aibar.base.BaseTest:46    | objectRepository file loaded.
01-05-2018 15:17:58.187 | DEBUG | main       | .aibar.base.BaseTest:45    | config file loaded.
01-05-2018 15:17:58.203 | DEBUG | main       | .aibar.base.BaseTest:47    | objectRepository file loaded.
01-05-2018 15:28:34.883 | DEBUG | main       | .aibar.base.BaseTest:45    | config file loaded.
01-05-2018 15:28:34.889 | DEBUG | main       | .aibar.base.BaseTest:47    | objectRepository file loaded.
01-05-2018 15:37:44.683 | DEBUG | main       | .aibar.base.BaseTest:45    | config file loaded.
01-05-2018 15:37:44.695 | DEBUG | main       | .aibar.base.BaseTest:47    | objectRepository file loaded.
01-05-2018 15:39:09.794 | DEBUG | main       | .aibar.base.BaseTest:45    | config file loaded.
01-05-2018 15:39:09.802 | DEBUG | main       | .aibar.base.BaseTest:47    | objectRepository file loaded.
